code_dept,annee,taux_chomage_moyen,taux_chomage_min,taux_chomage_max,nb_trimestres
06,1987,8.7,8.6,8.9,4
06,1988,8.22,8.0,8.4,4
06,1989,7.48,7.3,7.7,4
06,1990,7.62,7.5,7.7,4
06,1991,8.28,7.9,8.6,4
06,1992,9.28,8.9,9.7,4
06,1993,10.65,10.1,11.3,4
06,1994,11.35,11.2,11.5,4
06,1995,10.98,10.9,11.1,4
06,1996,11.5,11.3,11.6,4
06,1997,11.52,11.4,11.6,4
06,1998,11.05,10.9,11.2,4
06,1999,10.62,10.2,10.9,4
06,2000,9.1,8.5,9.7,4
06,2001,8.2,8.1,8.4,4
06,2002,8.07,8.0,8.1,4
06,2003,8.5,8.4,8.6,4
06,2004,8.45,8.4,8.6,4
06,2005,8.35,8.2,8.5,4
06,2006,8.2,7.9,8.4,4
06,2007,7.38,6.8,7.9,4
06,2008,6.6,6.5,6.9,4
06,2009,8.28,7.7,8.7,4
06,2010,8.45,8.4,8.5,4
06,2011,8.62,8.4,8.9,4
06,2012,9.3,9.0,9.7,4
06,2013,10.05,9.9,10.2,4
06,2014,10.3,10.1,10.6,4
06,2015,10.52,10.4,10.8,4
06,2016,10.32,10.1,10.5,4
06,2017,9.8,9.4,10.0,4
06,2018,9.35,9.1,9.7,4
06,2019,8.75,8.4,9.1,4
06,2020,8.78,8.0,10.0,4
06,2021,8.55,7.8,9.0,4
06,2022,7.35,7.1,7.5,4
06,2023,7.08,7.0,7.2,4
06,2024,6.75,6.6,7.0,4
06,2025,6.98,6.8,7.2,4
07,1982,6.9,6.6,7.2,4
07,1983,7.48,7.2,7.8,4
07,1984,8.65,8.2,8.9,4
07,1985,8.68,8.5,8.9,4
07,1986,8.55,8.4,8.7,4
07,1987,8.57,8.4,8.7,4
07,1988,8.12,8.0,8.3,4
07,1989,7.65,7.5,7.8,4
07,1990,7.93,7.8,8.0,4
07,1991,8.22,7.9,8.5,4
07,1992,9.02,8.8,9.2,4
07,1993,9.85,9.4,10.3,4
07,1994,10.32,9.9,10.6,4
07,1995,9.5,9.3,9.7,4
07,1996,10.42,10.1,10.6,4
07,1997,10.18,10.0,10.5,4
07,1998,9.93,9.7,10.1,4
07,1999,9.93,9.6,10.1,4
07,2000,8.35,7.7,9.3,4
07,2001,7.72,7.5,8.0,4
07,2002,8.0,8.0,8.0,4
07,2003,8.38,8.2,8.6,4
07,2004,8.7,8.6,8.8,4
07,2005,8.78,8.5,9.0,4
07,2006,8.93,8.6,9.1,4
07,2007,8.35,7.9,8.8,4
07,2008,7.9,7.5,8.5,4
07,2009,9.35,9.0,9.8,4
07,2010,9.28,9.2,9.4,4
07,2011,9.25,9.0,9.6,4
07,2012,10.02,9.6,10.5,4
07,2013,10.6,10.3,10.8,4
07,2014,10.45,10.4,10.6,4
07,2015,10.7,10.5,10.8,4
07,2016,10.62,10.5,10.7,4
07,2017,10.07,9.8,10.2,4
07,2018,9.78,9.6,10.0,4
07,2019,9.12,9.0,9.4,4
07,2020,8.7,7.9,9.7,4
07,2021,8.65,8.2,8.9,4
07,2022,8.05,7.9,8.2,4
07,2023,7.95,7.8,8.1,4
07,2024,7.82,7.6,8.0,4
07,2025,7.8,7.7,8.0,4
08,1982,8.93,8.7,9.1,4
08,1983,9.2,8.9,9.7,4
08,1984,11.02,10.3,11.6,4
08,1985,11.68,11.5,11.8,4
08,1986,11.08,11.0,11.2,4
08,1987,11.32,11.2,11.4,4
08,1988,10.88,10.6,11.2,4
08,1989,9.78,9.5,10.2,4
08,1990,9.72,9.6,9.8,4
08,1991,10.12,9.9,10.3,4
08,1992,10.75,10.5,11.2,4
08,1993,12.18,11.6,12.7,4
