code_dept,nb_arrondissement,nb_canton,nb_commune,pop_municipale,pop_totale,annee
77,5,23,507,1438100,1454221,2021
78,4,21,259,1456365,1480274,2021
79,3,17,256,374587,384784,2021
80,4,23,772,566252,576070,2021
81,2,23,314,393572,403762,2021
82,2,15,195,263377,269088,2021
83,3,23,153,1095337,1112053,2021
84,3,17,151,564566,575275,2021
85,3,17,255,699459,718405,2021
86,3,19,266,439385,449593,2021
87,3,21,195,371691,378107,2021
88,3,17,507,360673,371434,2021
89,3,21,423,333385,341738,2021
90,1,9,101,139654,142623,2021
91,3,21,194,1313768,1327467,2021
92,3,23,36,1635291,1651161,2021
93,3,21,40,1668670,1675249,2021
94,3,25,47,1415367,1424088,2021
95,3,21,184,1256607,1266299,2021
971,2,21,32,384315,389277,2021
972,4,,34,360749,364916,2021
973,3,,22,286618,288739,2021
974,4,25,24,871157,880875,2021
